time,X_value,Y_value,Z_value
59.422,9.47976,-0.92618,-2.94200
59.522,9.41166,-0.87170,-2.94200
59.625,9.39804,-1.03515,-2.90113
59.723,9.50700,-0.84446,-2.95562
59.825,9.46614,-0.76274,-2.99648
59.923,9.43890,-0.92618,-2.90113
60.024,9.38442,-0.96704,-2.91475
60.136,9.47976,-0.83084,-2.88751
60.223,9.39804,-0.91256,-2.94200
60.323,9.38442,-0.96704,-2.95562
60.424,9.42528,-0.85808,-2.95562
60.525,9.39804,-0.83084,-2.94200
60.624,9.39804,-0.85808,-2.99648
60.726,9.41166,-0.91256,-2.83303
60.824,9.43890,-0.95342,-2.86027
60.925,9.42528,-0.92618,-2.83303
61.024,9.43890,-0.84446,-2.84665
61.124,9.45252,-0.89894,-2.91475
61.225,9.39804,-0.92618,-2.90113
61.326,9.47976,-0.87170,-2.92837
61.424,9.43890,-0.89894,-2.91475
61.526,9.42528,-0.89894,-2.91475
61.624,9.42528,-0.87170,-2.90113
61.725,9.43890,-0.92618,-2.88751
61.824,9.52062,-0.89894,-2.95562
61.927,9.53424,-0.83084,-2.77855
62.025,9.47976,-0.80360,-2.86027
62.126,9.42528,-0.85808,-2.87389
62.225,9.38442,-0.87170,-2.86027
62.325,9.41166,-0.87170,-2.83303
62.426,9.45252,-0.85808,-2.87389
62.527,9.45252,-0.83084,-2.90113
62.626,9.46614,-0.88532,-2.86027
62.729,9.43890,-0.92618,-2.86027
62.826,9.45252,-0.81722,-2.80579
62.927,9.49338,-0.84446,-2.87389
63.027,9.43890,-0.85808,-2.71045
63.127,9.43890,-0.81722,-2.79217
63.226,9.47976,-0.76274,-2.76493
63.329,9.43890,-0.83084,-2.76493
63.426,9.46614,-0.88532,-2.73769
63.529,9.41166,-0.83084,-2.71045
63.629,9.46614,-0.83084,-2.76493
63.731,9.46614,-0.87170,-2.76493
63.829,9.50700,-0.83084,-2.66959
63.931,9.47976,-0.83084,-2.79217
64.029,9.46614,-0.85808,-2.73769
64.131,9.50700,-0.81722,-2.71045
64.231,9.49338,-0.85808,-2.68321
64.334,9.47976,-0.89894,-2.76493
64.430,9.50700,-0.87170,-2.71045
64.532,9.47976,-0.84446,-2.69683
64.630,9.50700,-0.87170,-2.76493
64.731,9.45252,-0.88532,-2.76493
64.830,9.52062,-0.83084,-2.75131
64.930,9.45252,-0.85808,-2.69683
65.033,9.43890,-0.85808,-2.66959
65.160,9.47976,-0.84446,-2.68321
65.231,9.43890,-0.87170,-2.64235
65.331,9.45252,-0.89894,-2.68321
65.432,9.45252,-0.85808,-2.61511
65.531,9.52062,-0.87170,-2.75131
65.631,9.41166,-0.77636,-2.83303
65.731,9.42528,-0.85808,-2.71045
65.833,9.49338,-0.85808,-2.76493
65.931,9.28908,-0.92618,-2.39718
