time,X_value,Y_value,Z_value
58.891,-6.81017,-0.62654,-7.19154
58.991,-6.38794,-0.64016,-7.45033
59.091,-6.51053,-0.69464,-7.34137
59.195,-6.52415,-0.64016,-7.38223
59.291,-6.53777,-0.62654,-7.28689
59.392,-6.44242,-0.66740,-7.36861
59.493,-6.41518,-0.66740,-7.50481
59.592,-6.48329,-0.68102,-7.45033
59.700,-6.31984,-0.76274,-7.57291
59.794,-6.31984,-0.69464,-7.40947
59.892,-5.99295,-0.89894,-7.92704
59.994,-6.33346,-0.76274,-7.35499
60.098,-5.82951,-0.57205,-7.25965
60.194,-6.67397,-0.96704,-7.55929
60.292,-6.37432,-1.15773,-7.53205
60.394,-6.17002,-1.04877,-7.50481
60.492,-6.30622,-1.04877,-7.54567
60.594,-6.27898,-0.98067,-7.40947
60.693,-6.31984,-0.98067,-7.50481
60.793,-6.34708,-1.03515,-7.38223
60.893,-6.34708,-0.92618,-7.45033
60.995,-6.34708,-0.89894,-7.40947
61.120,-6.31984,-0.88532,-7.46395
61.193,-6.31984,-0.95342,-7.36861
61.294,-6.21088,-0.89894,-7.51843
61.393,-6.36070,-0.91256,-7.50481
61.494,-6.25174,-0.78998,-7.43671
61.600,-6.34708,-0.81722,-7.47757
61.694,-6.33346,-0.83084,-7.47757
61.798,-6.19726,-0.93980,-7.51843
61.896,-6.17002,-0.93980,-7.54567
61.998,-6.22450,-0.85808,-7.47757
62.115,-6.42880,-1.08963,-7.42309
62.196,-6.59225,-0.87170,-8.60806
62.299,-6.37432,-0.89894,-7.60015
62.398,-6.25174,-0.92618,-7.60015
62.496,-6.38794,-0.89894,-7.66826
62.596,-6.29260,-0.92618,-7.51843
62.699,-6.70121,-0.92618,-7.10982
62.797,-6.27898,-0.78998,-7.35499
62.898,-6.23812,-0.83084,-7.62739
62.997,-6.27898,-0.84446,-7.50481
63.099,-6.31984,-0.87170,-7.21878
63.198,-6.22450,-0.89894,-7.50481
63.302,-6.26536,-0.85808,-7.47757
63.399,-6.22450,-0.88532,-7.58653
63.497,-6.33346,-0.84446,-7.49119
63.600,-5.96571,-0.78998,-7.69550
63.697,-6.17002,-0.74912,-7.54567
63.798,-6.22450,-0.91256,-7.57291
63.898,-6.11554,-0.85808,-7.49119
64.000,-6.23812,-0.98067,-7.53205
64.136,-6.22450,-0.96704,-7.60015
64.198,-6.19726,-0.91256,-7.57291
